polygon_id,cp7,n_door_points,mean_assignment_confidence,mean_door_building_distance_m,n_cp7_on_building,building_area_m2,split_method,building_postal_fragment_area_m2,polygon_method,geometry,consumo_anual_estimado_kWh
100281,3800-298,1,0.7,0.0,1,240.47138950612822,whole_building_single_cp7,240.47138950612822,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43769.78855915739 107181.7528566981, -43785.18609123186 107175.8575930134, -43785.5021202859 107176.6845804723, -43786.0161673715 107178.0255601097, -43788.74708439321 107176.9795133296, -43788.88009661575 107177.3275080541, -43789.23312898793 107178.2494940649, -43791.05829633927 107183.0164217492, -43791.40832838003 107183.9294078919, -43791.7223571606 107184.7493954513, -43791.63941581829 107186.1583865294, -43791.06246213637 107187.0853911055, -43790.46449621261 107187.7043984158, -43789.27553829979 107188.3054176753, -43787.90857972118 107188.8254411019, -43786.93149017087 107186.2744798091, -43781.51265493426 107188.3495725713, -43781.74667634935 107188.9595633041, -43774.61789315954 107191.6886853029, -43774.38687193632 107191.0846944675, -43770.63198614884 107192.5217587145, -43767.16566800144 107183.4698962243, -43770.02658102282 107182.3748472524, -43769.78855915739 107181.7528566981)))",13801.026007027584
10029,3800-382,1,0.7,10.50593190872193,1,11.521190794507852,whole_building_single_cp7,11.521190794507852,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41523.37649077321 110934.7369268775, -41523.90052081643 110935.4189044994, -41526.82368816713 110939.2177797479, -41525.10774822952 110940.463795983, -41522.36458144259 110936.6849165594, -41521.76654981224 110935.9649411415, -41523.37649077321 110934.7369268775)))",661.2190086874247
100293,3800-431,1,0.7,13.579293039176616,1,24.388177387158247,whole_building_single_cp7,24.388177387158247,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44078.35041225287 107341.6145328627, -44086.03516537435 107338.3574038774, -44087.19425752298 107341.0933612043, -44079.47150136554 107344.2594915821, -44078.35041225287 107341.6145328627)))",1399.6753255155766
1003,3800-307,1,0.7,0.0,1,89.23710496048479,whole_building_single_cp7,89.23710496048479,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-50398.02435612679 110629.2377821779, -50410.34812614402 110634.96347167, -50407.58135199046 110640.9194641662, -50403.19143395335 110638.8795747623, -50401.13447234743 110637.9236265849, -50395.25758202349 110635.1927746587, -50398.02435612679 110629.2377821779)))",5121.455857517367
100339,3810-111,1,0.9,0.0,1,556.9862788255883,whole_building_single_cp7,556.9862788255883,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43774.01578778347 106845.7903017433, -43788.44552178798 106844.2280196613, -43789.11376408445 106850.3999596763, -43787.00780292922 106850.6280008345, -43787.45096357681 106854.7199610572, -43791.91888111607 106854.2358737586, -43791.71480709096 106852.3498920795, -43800.29264889073 106851.4217244359, -43801.84020943347 106865.7115857516, -43792.96837334657 106866.6717590023, -43792.76229887129 106864.7737774499, -43788.70937376622 106865.2128565954, -43789.17354207817 106869.5008149321, -43790.98650857275 106869.3047795355, -43791.60473274307 106875.0167240576, -43777.31999703307 106876.563002842, -43776.35364644006 106867.6370896797, -43778.20661221057 106867.4370534982, -43776.8101054669 106854.5361790109, -43774.98413918269 106854.7342146825, -43774.01578778347 106845.7903017433)))",31966.306409326768
100350,3810-319,1,0.7,0.0,1,95.99624455609626,whole_building_single_cp7,95.99624455609626,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-40244.64417930001 106321.3034780488, -40244.64017717794 106321.2624787821, -40243.90881692822 106314.2946040332, -40247.68075612905 106313.6735487355, -40250.33471333731 106313.2365098339, -40251.13176602547 106314.3534779716, -40255.91768796351 106313.5484080966, -40257.82609560451 106321.5802451215, -40251.28313717127 106321.4433607303, -40244.64417930001 106321.3034780488)))",5509.373362114256
100358,3810-386,1,0.7,0.12744038463565416,1,231.77503798977634,whole_building_single_cp7,231.77503798977634,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-42970.13301231557 105785.6172532093, -42958.20956548352 105799.2785907793, -42948.58414923049 105790.8768732681, -42960.50759611641 105777.2165357731, -42965.9688316519 105781.9693754154, -42969.82899811893 105785.3282621398, -42970.13301231557 105785.6172532093)))",13301.928905746987
100359,3810-089,1,0.7,0.0,1,762.9133880244256,whole_building_single_cp7,762.9133880244256,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41416.66214584419 105335.0198209512, -41421.24766585854 105345.45561527, -41423.27164432729 105344.5665531553, -41426.31298903487 105351.4874170159, -41424.37600967678 105352.338476415, -41433.26601686019 105372.5710793672, -41434.99299841974 105371.8130265237, -41438.23736573789 105379.1968820525, -41421.4265461098 105386.5833954987, -41418.19017939579 105379.2165400422, -41420.35515612689 105378.2644739286, -41411.47214922087 105358.0478715511, -41409.26017287533 105359.0199392568, -41406.16382165577 105351.9730782729, -41408.21379979938 105351.0730154743, -41403.66928406039 105340.7282197871, -41416.66214584419 105335.0198209512)))",43784.78259246845
1004,3800-903,1,0.7,0.0,1,90.7248194884621,whole_building_single_cp7,90.7248194884621,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-50374.38691766946 110664.7708812947, -50368.22741816474 110677.8978657009, -50362.75751981723 110675.3310037287, -50362.56352339881 110675.2390086342, -50363.98240806798 110672.2150122405, -50368.72302285218 110662.1130242431, -50374.38691766946 110664.7708812947)))",5206.838101674627
10040,3800-035,1,0.7,3.692906242853284,1,20.75972821514442,whole_building_single_cp7,20.75972821514442,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41416.45948200704 110951.9809292088, -41412.36145315061 110951.1730300184, -41413.42422363787 110946.1720891497, -41416.22325003199 110946.8710178908, -41417.41525964989 110947.1329881286, -41416.45948200704 110951.9809292088)))",1191.432999927549
