ptd_id;total_paineis_reais;potencia_real_kwp;producao_real_mwh_ano;consumo_anual_kwh;n_cp7_com_consumo;producao_anual_kwh;autoconsumo_kwh;excedente_kwh;racio_autossuficiencia;poupanca_ano1_eur;custo_instalacao_eur;val_eur;tir_pct;payback_anos
256;237;106.65;158.71226400000003;441476.4546438646;1.0;158712.26400000002;158712.26400000002;0.0;0.35950334911525894;39678.066000000006;284400;156430.92489596986;12.775490981093062;8.0
257;89;40.050000000000004;59.600808000000015;0.0;;59600.80800000001;0.0;59600.80800000001;;2980.040400000001;106800;-73691.17948038706;-3.084936894976126;
258;1501;675.45;1005.1776720000001;1349837.6876012585;3.0;1005177.6720000001;1005177.6720000001;0.0;0.7446655855240346;251294.41800000003;1801200;990729.191007809;12.775490981093062;8.0
260;812;365.40000000000003;543.773664;408557.0837904309;1.0;543773.6640000001;408557.0837904309;135216.5802095692;1.330961291761443;108900.09995808618;974400;235501.00136903592;9.636696892030605;10.0
261;2211;994.95;1480.6447920000003;988508.9086693024;2.0;1480644.7920000004;988508.9086693024;492135.883330698;1.4978568013040923;271734.02133386047;2653200;365817.1050753048;8.528650430131812;11.0
262;2062;927.9;1380.8636640000002;1853649.6488816414;2.0;1380863.664;1380863.664;0.0;0.7449431799763854;345215.916;2474400;1361015.0512045978;12.775490981093062;8.0
265;266;119.7;178.132752;686012.4849429411;1.0;178132.752;178132.752;0.0;0.25966400890621716;44533.188;319200;175572.26169758636;12.775490981093062;8.0
266;1368;615.6;916.111296;1620961.2895917508;4.0;916111.2960000001;916111.2960000001;0.0;0.5651654372515759;229027.82400000002;1641600;902943.0601590156;12.775490981093062;8.0
268;1656;745.2;1108.976832;400119.4071880301;2.0;1108976.8320000002;400119.4071880301;708857.4248119701;2.771614703204969;135472.72303760602;1987200;-482072.058662249;4.082386685759076;16.0
269;1209;544.0500000000001;809.6334480000002;893954.452986922;3.0;809633.4480000002;809633.4480000002;0.0;0.9056763969291897;202408.36200000005;1450800;797995.7307984285;12.775490981093062;8.0
270;1934;870.3000000000001;1295.145648;1323215.5691002395;4.0;1295145.648;1295145.648;0.0;0.9787865849255942;323786.412;2320800;1276529.1508388417;12.775490981093062;8.0
271;304;136.8;203.58028800000002;928591.6364279276;1.0;203580.28800000003;203580.28800000003;0.0;0.21923553908273957;50895.07200000001;364800;200654.0133686701;12.775490981093062;8.0
273;712;320.40000000000003;476.8064640000001;169917.31433370724;1.0;476806.4640000001;169917.31433370724;306889.1496662928;2.806108758661176;57823.78606674145;854400;-211966.64418098587;4.011675674804483;16.0
274;3187;1434.15;2134.2446640000003;733039.9733833997;2.0;2134244.6640000003;733039.9733833997;1401204.6906166007;2.9114983377362598;253320.22787667997;3824400;-1009963.6726413367;3.804577293772382;16.0
275;321;144.45000000000002;214.96471200000002;464937.57013349526;1.0;214964.71200000003;214964.71200000003;0.0;0.4623517775478507;53741.17800000001;385200;211874.79701099714;12.775490981093062;8.0
276;462;207.9;309.38846400000006;383391.50906196993;1.0;309388.46400000004;309388.46400000004;0.0;0.8069778716721441;77347.11600000001;554400;304941.29663265;12.775490981093062;8.0
278;1077;484.65000000000003;721.236744;1411449.3040212106;3.0;721236.7440000001;721236.7440000001;0.0;0.5109901871397017;180309.18600000002;1292400;710869.6460462424;12.775490981093062;8.0
279;5449;2452.05;3649.042728;0.0;;3649042.728;0.0;3649042.728;;182452.13640000002;6538800;-4511721.763917184;-3.084936894976126;
280;1365;614.25;914.1022800000002;1120550.9333689124;3.0;914102.2800000001;914102.2800000001;0.0;0.8157614730209284;228525.57000000004;1638000;900962.9218691932;12.775490981093062;8.0
281;871;391.95;583.284312;1551937.7416671272;1.0;583284.312;583284.312;0.0;0.3758425975087265;145821.078;1045200;574900.1501451042;12.775490981093062;8.0
282;934;420.3;625.473648;385280.2059534542;2.0;625473.648;385280.2059534542;240193.44204654585;1.6234253365083688;108329.72359069085;1120800;82764.0105092066;7.8277640314568515;11.0
283;603;271.35;403.8122160000001;366428.95166296855;1.0;403812.2160000001;366428.95166296855;37383.26433703152;1.10202049856425;93476.40113259372;723600;314940.748614813;11.628902926233964;8.0
285;874;393.3;585.2933280000001;1621788.4717130575;2.0;585293.3280000001;585293.3280000001;0.0;0.3608937529206681;146323.33200000002;1048800;576880.2884349268;12.775490981093062;8.0
286;1570;706.5;1051.3850400000001;1925027.3045246718;5.0;1051385.04;1051385.04;0.0;0.5461662998383331;262846.26;1884000;1036272.3716737237;12.775490981093062;8.0
288;2590;1165.5;1734.4504800000002;1028519.7652487278;2.0;1734450.4800000002;1028519.7652487278;705930.7147512725;1.6863560026778452;292426.47704974556;3108000;140914.25761299388;7.510880616741334;11.0
289;1064;478.8;712.531008;1091602.9936893024;3.0;712531.008;712531.008;0.0;0.652738231865645;178132.752;1276800;702289.0467903455;12.775490981093062;8.0
290;1863;838.35;1247.5989360000003;1050956.9814940628;3.0;1247598.9360000002;1050956.9814940628;196641.9545059374;1.1871075200684114;272571.34309881256;2235600;792719.9105114206;10.808876776988575;9.0
291;2393;1076.8500000000001;1602.5250960000003;1658183.2022433104;3.0;1602525.0960000004;1602525.0960000004;0.0;0.966434284120107;400631.2740000001;2871600;1579490.30918167;12.775490981093062;8.0
292;813;365.85;544.443336;138039.23365437755;1.0;544443.336;138039.23365437755;406404.1023456225;3.944120244561604;54830.01353087551;975600;-366428.03136437206;2.2931852261551033;19.0
294;927;417.15000000000003;620.785944;442198.16515482904;2.0;620785.944;442198.16515482904;178587.77884517098;1.4038636813037004;119478.93023096581;1112400;215033.83508908172;9.12427748379766;10.0
295;873;392.85;584.6236560000001;220857.3911041245;1.0;584623.6560000001;220857.3911041245;363766.2648958756;2.64706403112575;73402.6610208249;1047600;-232082.35486992795;4.3508066259828055;15.0
296;131;58.95;87.72703200000001;0.0;;87727.032;0.0;87727.032;;4386.351600000001;157200;-108466.79226888432;-3.084936894976126;
297;766;344.7;512.968752;211280.1791151026;1.0;512968.752;211280.1791151026;301688.57288489735;2.427907597146354;67904.47342302052;919200;-164768.27382554548;4.879868898476747;15.0
300;809;364.05;541.7646480000001;1590646.5281781806;1.0;541764.648;541764.648;0.0;0.3405939901811503;135441.162;970800;533977.2921554411;12.775490981093062;8.0
302;1260;567.0;843.7867200000002;0.0;;843786.7200000002;0.0;843786.7200000002;;42189.33600000001;1512000;-1043268.3836549185;-3.084936894976126;
303;1904;856.8000000000001;1275.0554880000002;1599886.6453204653;2.0;1275055.4880000001;1275055.4880000001;0.0;0.796966142401045;318763.87200000003;2284800;1256727.767940618;12.775490981093062;8.0
304;180;81.0;120.54096000000003;0.0;;120540.96000000002;0.0;120540.96000000002;;6027.048000000002;216000;-149038.34052213118;-3.084936894976126;
307;1974;888.3000000000001;1321.9325280000003;842469.107965814;2.0;1321932.5280000002;842469.107965814;479463.4200341862;1.5691169153868156;234590.4479931628;2368800;237544.8798282116;8.11890135394523;11.0
309;268;120.60000000000001;179.47209600000002;139240.77754184676;1.0;179472.09600000002;139240.77754184676;40231.318458153255;1.2889334515965507;36821.760308369354;321600;87496.82072296995;9.955182922917826;9.0
311;1107;498.15000000000003;741.3269040000001;282107.6207045144;1.0;741326.9040000001;282107.6207045144;459219.2832954857;2.6278159453781007;93487.86934090288;1328400;-289731.83739087003;4.394230215113149;15.0
312;573;257.85;383.7220560000001;0.0;;383722.0560000001;0.0;383722.0560000001;;19186.102800000004;687600;-474438.7173287841;-3.084936894976126;
313;414;186.3;277.244208;691862.922106457;1.0;277244.20800000004;277244.20800000004;0.0;0.40072129773322424;69311.05200000001;496800;273259.0839954916;12.775490981093062;8.0
314;956;430.2;640.2064320000001;834028.4764996716;2.0;640206.432;640206.432;0.0;0.7676074019521228;160051.608;1147200;631004.0683567388;12.775490981093062;8.0
316;87;39.15;58.261464000000004;0.0;;58261.46400000001;0.0;58261.46400000001;;2913.0732000000007;104400;-72035.1979190301;-3.084936894976126;
319;824;370.8;551.809728;4958198.014451409;2.0;551809.728;551809.728;0.0;0.11129239421089439;137952.432;988800;543877.9836045528;12.775490981093062;8.0
